"   model_1"
"BLOCK: PART/2"

"Time      "	"Block_XFORM.Y"
0.000000e+000	0.000000e+000
2.000000e-002	-6.332565e-001
4.000000e-002	-3.954471e+000
6.000000e-002	-9.409796e+000
8.000000e-002	-1.542210e+001
1.000000e-001	-2.170854e+001
1.200000e-001	-2.809576e+001
1.400000e-001	-3.442372e+001
1.600000e-001	-4.054828e+001
1.800000e-001	-4.634313e+001
2.000000e-001	-5.170122e+001
2.200000e-001	-5.653548e+001
2.400000e-001	-6.077911e+001
2.600000e-001	-6.438531e+001
2.800000e-001	-6.732658e+001
3.000000e-001	-6.959362e+001
3.200000e-001	-7.119391e+001
3.400000e-001	-7.214998e+001
3.600000e-001	-7.249758e+001
3.800000e-001	-7.228357e+001
4.000000e-001	-7.156385e+001
4.200000e-001	-7.040120e+001
4.400000e-001	-6.886319e+001
4.600000e-001	-6.702015e+001
4.800000e-001	-6.494323e+001
5.000000e-001	-6.270268e+001
5.200000e-001	-6.036625e+001
5.400000e-001	-5.799782e+001
5.600000e-001	-5.565625e+001
5.800000e-001	-5.339444e+001
6.000000e-001	-5.125859e+001
6.200000e-001	-4.928779e+001
6.400000e-001	-4.751365e+001
6.600000e-001	-4.596028e+001
6.800000e-001	-4.464440e+001
7.000000e-001	-4.357561e+001
7.200000e-001	-4.275678e+001
7.400000e-001	-4.218464e+001
7.600000e-001	-4.185037e+001
7.800000e-001	-4.174034e+001
8.000000e-001	-4.183685e+001
8.200000e-001	-4.211891e+001
8.400000e-001	-4.256307e+001
8.600000e-001	-4.314416e+001
8.800000e-001	-4.383605e+001
9.000000e-001	-4.461237e+001
9.200000e-001	-4.544712e+001
9.400000e-001	-4.631530e+001
9.600000e-001	-4.719337e+001
9.800000e-001	-4.805968e+001
1.000000e+000	-4.889483e+001
1.020000e+000	-4.968191e+001
1.040000e+000	-5.040668e+001
1.060000e+000	-5.105764e+001
1.080000e+000	-5.162611e+001
1.100000e+000	-5.210611e+001
1.120000e+000	-5.249432e+001
1.140000e+000	-5.278987e+001
1.160000e+000	-5.299417e+001
1.180000e+000	-5.311065e+001
1.200000e+000	-5.314451e+001
1.220000e+000	-5.310243e+001
1.240000e+000	-5.299227e+001
1.260000e+000	-5.282281e+001
1.280000e+000	-5.260341e+001
1.300000e+000	-5.234378e+001
1.320000e+000	-5.205370e+001
1.340000e+000	-5.174278e+001
1.360000e+000	-5.142025e+001
1.380000e+000	-5.109477e+001
1.400000e+000	-5.077432e+001
1.420000e+000	-5.046600e+001
1.440000e+000	-5.017600e+001
1.460000e+000	-4.990952e+001
1.480000e+000	-4.967072e+001
1.500000e+000	-4.946274e+001
1.520000e+000	-4.928770e+001
1.540000e+000	-4.914676e+001
1.560000e+000	-4.904016e+001
1.580000e+000	-4.896730e+001
1.600000e+000	-4.892687e+001
1.620000e+000	-4.891686e+001
1.640000e+000	-4.893478e+001
1.660000e+000	-4.897767e+001
1.680000e+000	-4.904224e+001
1.700000e+000	-4.912503e+001
1.720000e+000	-4.922241e+001
1.740000e+000	-4.933077e+001
1.760000e+000	-4.944655e+001
1.780000e+000	-4.956635e+001
1.800000e+000	-4.968697e+001
1.820000e+000	-4.980548e+001
1.840000e+000	-4.991929e+001
1.860000e+000	-5.002612e+001
1.880000e+000	-5.012408e+001
1.900000e+000	-5.021166e+001
1.920000e+000	-5.028774e+001
1.940000e+000	-5.035155e+001
1.960000e+000	-5.040269e+001
1.980000e+000	-5.044112e+001
2.000000e+000	-5.046706e+001


