"   model_1"
"BLOCK: PART/2"

"Time      "	"Block_XFORM.Y"	"Block_XFORM.Y"	"Block_XFORM.Y"
0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
2.000000e-002	-1.882949e+000	-6.333330e-001	-6.128091e-001
4.000000e-002	-6.822235e+000	-3.954699e+000	-3.660923e+000
6.000000e-002	-1.236537e+001	-9.420752e+000	-9.036125e+000
8.000000e-002	-1.834003e+001	-1.543046e+001	-1.500351e+001
1.000000e-001	-2.455146e+001	-2.171411e+001	-2.121886e+001
1.200000e-001	-3.080767e+001	-2.809851e+001	-2.754087e+001
1.400000e-001	-3.694559e+001	-3.442204e+001	-3.384706e+001
1.600000e-001	-4.283702e+001	-4.054204e+001	-3.979487e+001
1.800000e-001	-4.837289e+001	-4.633348e+001	-4.548947e+001
2.000000e-001	-5.345105e+001	-5.168778e+001	-5.079184e+001
2.200000e-001	-5.798431e+001	-5.652273e+001	-5.560688e+001
2.400000e-001	-6.191444e+001	-6.076677e+001	-5.987582e+001
2.600000e-001	-6.521062e+001	-6.437779e+001	-6.353836e+001
2.800000e-001	-6.785577e+001	-6.732476e+001	-6.655444e+001
3.000000e-001	-6.984139e+001	-6.959893e+001	-6.890764e+001
3.200000e-001	-7.117552e+001	-7.120845e+001	-7.060452e+001
3.400000e-001	-7.188808e+001	-7.217143e+001	-7.166882e+001
3.600000e-001	-7.202336e+001	-7.252591e+001	-7.213389e+001
3.800000e-001	-7.163009e+001	-7.231579e+001	-7.203414e+001
4.000000e-001	-7.076122e+001	-7.159832e+001	-7.142187e+001
4.200000e-001	-6.947919e+001	-7.043686e+001	-7.035852e+001
4.400000e-001	-6.785474e+001	-6.889899e+001	-6.891057e+001
4.600000e-001	-6.595925e+001	-6.705515e+001	-6.714732e+001
4.800000e-001	-6.386021e+001	-6.497639e+001	-6.513910e+001
5.000000e-001	-6.162336e+001	-6.273329e+001	-6.295558e+001
5.200000e-001	-5.931481e+001	-6.039335e+001	-6.066428e+001
5.400000e-001	-5.699768e+001	-5.802095e+001	-5.832916e+001
5.600000e-001	-5.472757e+001	-5.567485e+001	-5.600941e+001
5.800000e-001	-5.255216e+001	-5.340818e+001	-5.383030e+001
6.000000e-001	-5.051370e+001	-5.126765e+001	-5.174382e+001
6.200000e-001	-4.864911e+001	-4.929184e+001	-4.980087e+001
6.400000e-001	-4.698757e+001	-4.751414e+001	-4.803629e+001
6.600000e-001	-4.554929e+001	-4.595763e+001	-4.647164e+001
6.800000e-001	-4.434713e+001	-4.463923e+001	-4.513288e+001
7.000000e-001	-4.338838e+001	-4.356879e+001	-4.402797e+001
7.200000e-001	-4.267446e+001	-4.274978e+001	-4.316367e+001
7.400000e-001	-4.220011e+001	-4.217973e+001	-4.253848e+001
7.600000e-001	-4.195425e+001	-4.184977e+001	-4.214456e+001
7.800000e-001	-4.192176e+001	-4.174470e+001	-4.197032e+001
8.000000e-001	-4.208450e+001	-4.184410e+001	-4.200331e+001
8.200000e-001	-4.242128e+001	-4.212918e+001	-4.222451e+001
8.400000e-001	-4.290816e+001	-4.257505e+001	-4.261147e+001
8.600000e-001	-4.351972e+001	-4.315760e+001	-4.313986e+001
8.800000e-001	-4.423030e+001	-4.385024e+001	-4.378428e+001
9.000000e-001	-4.501443e+001	-4.462694e+001	-4.451897e+001
9.200000e-001	-4.584695e+001	-4.546159e+001	-4.531838e+001
9.400000e-001	-4.670360e+001	-4.632932e+001	-4.615773e+001
9.600000e-001	-4.756187e+001	-4.720665e+001	-4.701355e+001
9.800000e-001	-4.840146e+001	-4.807195e+001	-4.786412e+001
1.000000e+000	-4.920435e+001	-4.890595e+001	-4.866361e+001
1.020000e+000	-4.995481e+001	-4.969184e+001	-4.940858e+001
1.040000e+000	-5.063975e+001	-5.041520e+001	-5.011206e+001
1.060000e+000	-5.124893e+001	-5.106440e+001	-5.075443e+001
1.080000e+000	-5.177492e+001	-5.163106e+001	-5.132422e+001
1.100000e+000	-5.221284e+001	-5.210922e+001	-5.181410e+001
1.120000e+000	-5.256023e+001	-5.249535e+001	-5.221962e+001
1.140000e+000	-5.281705e+001	-5.278847e+001	-5.253880e+001
1.160000e+000	-5.298548e+001	-5.299003e+001	-5.277188e+001
1.180000e+000	-5.306959e+001	-5.310387e+001	-5.292106e+001
1.200000e+000	-5.307498e+001	-5.313566e+001	-5.299032e+001
1.220000e+000	-5.300863e+001	-5.309175e+001	-5.298515e+001
1.240000e+000	-5.287861e+001	-5.298037e+001	-5.291097e+001
1.260000e+000	-5.269377e+001	-5.281003e+001	-5.277566e+001
1.280000e+000	-5.246346e+001	-5.259018e+001	-5.258815e+001
1.300000e+000	-5.219720e+001	-5.233047e+001	-5.235770e+001
1.320000e+000	-5.190454e+001	-5.204064e+001	-5.209370e+001
1.340000e+000	-5.159480e+001	-5.173027e+001	-5.180544e+001
1.360000e+000	-5.127684e+001	-5.140852e+001	-5.150194e+001
1.380000e+000	-5.095893e+001	-5.108406e+001	-5.119176e+001
1.400000e+000	-5.064855e+001	-5.076477e+001	-5.088922e+001
1.420000e+000	-5.035236e+001	-5.045776e+001	-5.060064e+001
1.440000e+000	-5.007608e+001	-5.016918e+001	-5.033094e+001
1.460000e+000	-4.982445e+001	-4.990418e+001	-5.007572e+001
1.480000e+000	-4.960115e+001	-4.966683e+001	-4.984196e+001
