***********************************************************
******Simulation Results Single Damper System**************

Time	Disp	Vel	Acc	Force
0.00200000	0.00000000	0.00947489	4.73744526	-659.87132117
0.00400000	-0.02540706	0.01905529	4.81657899	-670.42809979
0.00600000	-0.07286644	0.02868365	4.89363576	-680.76625970
0.00800000	-0.13085372	0.03846726	4.96909679	-690.91402547
0.01000000	-0.19950054	0.04845252	5.04316807	-700.84011055
0.01200000	-0.28471178	0.05861788	5.11562124	-710.50832964
0.01400000	-0.39064141	0.06893045	5.18619219	-719.90475304
0.01600000	-0.51819767	0.07937485	5.25477922	-729.03166412
0.01800000	-0.66689124	0.08994955	5.32139901	-737.89421664
0.02000000	-0.83642319	0.10065534	5.38608917	-746.49443403
0.02200000	-1.02700780	0.11149006	5.44886448	-754.83189706
0.02400000	-1.23906271	0.12244929	5.50972188	-762.90593100
0.02600000	-1.47294438	0.13352833	5.56865643	-770.71655975
0.02800000	-1.72890431	0.14472305	5.62566832	-778.26432793
0.03000000	-2.00714970	0.15602974	5.68076152	-785.54989647
0.03200000	-2.30789065	0.16744470	5.73394085	-792.57387375
0.03400000	-2.63134682	0.17896416	5.78521076	-799.33684911
0.03600000	-2.97773625	0.19058427	5.83457554	-805.83946382
0.03800000	-3.34726712	0.20230122	5.88203988	-812.08243887
0.04000000	-3.74013694	0.21411118	5.92760904	-818.06656735
0.04200000	-4.15653458	0.22601039	5.97128881	-823.79270081
0.04400000	-4.59664179	0.23799508	6.01308541	-829.26174370
0.04600000	-5.06063330	0.25006148	6.05300543	-834.47465395
0.04800000	-5.54867648	0.26220585	6.09105587	-839.43244453
0.05000000	-6.06093110	0.27442446	6.12724412	-194.13618359
0.05200000	-6.59754937	0.28215885	1.41705243	-184.54757729
0.05400000	-7.15430345	0.28567131	1.34706261	-177.53206677
0.05600000	-7.72319072	0.28759115	1.29585450	-171.44862992
0.05800000	-8.29753659	0.28966044	1.25144985	-165.22165223
0.06000000	-8.87499792	0.29214512	1.20599746	-158.69818703
0.06200000	-9.45632828	0.29469743	1.15838093	-152.09788112
0.06400000	-10.04270336	0.29706762	1.11020351	-145.57306625
0.06600000	-10.63435692	0.29923924	1.06257713	-139.13245989
0.06800000	-11.23079247	0.30128585	1.01556540	-132.73246405
0.07000000	-11.83145275	0.30325400	0.96885010	-126.34755043
0.07200000	-12.43603599	0.30514642	0.92224489	-119.97852151
0.07400000	-13.04442205	0.30695032	0.87575563	-113.63470418
0.07600000	-13.65650548	0.30865830	0.82945040	-107.32180599
0.07800000	-14.27212345	0.31027075	0.78337085	-101.04096602
0.08000000	-14.89107484	0.31179053	0.73752530	-94.79201716
0.08200000	-15.51315770	0.31321946	0.69191253	-88.57550903
0.08400000	-16.13818404	0.31455796	0.64653656	-82.39276454
0.08600000	-16.76597500	0.31580605	0.60140704	-76.24527906
