*****************************************************
********  Simulation Results Two Body System  *************

Time	Disp_Body_1	Disp_Body_2
0.00000000	0.00000000	0.00000000
0.00200000	0.03354805	-0.01818793
0.00400000	0.14695230	-0.07967962
0.00600000	0.33892966	-0.18382285
0.00800000	0.60819297	-0.32996279
0.01000000	0.95345137	-0.51744232
0.01200000	1.37341072	-0.74560222
0.01400000	1.86677395	-1.01378139
0.01600000	2.43224142	-1.32131710
0.01800000	3.06851137	-1.66754521
0.02000000	3.77428019	-2.05180038
0.02200000	4.54824284	-2.47341630
0.02400000	5.38909322	-2.93172591
0.02600000	6.29552446	-3.42606160
0.02800000	7.26622936	-3.95575543
0.03000000	8.29990064	-4.52013933
0.03200000	9.39523136	-5.11854532
0.03400000	10.55091521	-5.75030569
0.03600000	11.76564684	-6.41475323
0.03800000	13.03812222	-7.11122138
0.04000000	14.36703893	-7.83904449
0.04200000	15.75109651	-8.59755795
0.04400000	17.18899671	-9.38609839
0.04600000	18.67944387	-10.20400390
0.04800000	20.22114519	-11.05061418
0.05000000	21.81281101	-11.92527070
0.05200000	23.45747478	-12.82731010
0.05400000	25.15992995	-13.75603931
0.05600000	26.91899521	-14.71075102
0.05800000	28.73349066	-15.69073907
0.06000000	30.60223814	-16.69529869
0.06200000	32.52406150	-17.72372668
0.06400000	34.49778688	-18.77532153
0.06600000	36.52224301	-19.84938367
0.06800000	38.59626147	-20.94521559
0.07000000	40.71867700	-22.06212201
0.07200000	42.88832771	-23.19941007
0.07400000	45.10405541	-24.35638947
0.07600000	47.36470581	-25.53237264
0.07800000	49.66912882	-26.72667488
0.08000000	52.01617878	-27.93861453
0.08200000	54.40471471	-29.16751313
0.08400000	56.83360055	-30.41269554
0.08600000	59.30170540	-31.67349009
0.08800000	61.80790375	-32.94922876
0.09000000	64.35107571	-34.23924725
0.09200000	66.93010721	-35.54288519
0.09400000	69.54389029	-36.85948622
0.09600000	72.19132321	-38.18839813
0.09800000	74.87131073	-39.52897302
0.10000000	77.58276432	-40.88056738
0.10200000	80.32460231	-42.24254226
0.10400000	83.09575011	-43.61426333
0.10600000	85.89514044	-44.99510104
0.10800000	88.72171343	-46.38443074
0.11000000	91.57441689	-47.78163275
0.11200000	94.45220643	-49.18609250
0.11400000	97.35404566	-50.59720063
0.11600000	100.27890634	-52.01435306
0.11800000	103.22576856	-53.43695116
0.12000000	106.19362090	-54.86440177
0.12200000	109.18146057	-56.29611733
0.12400000	112.18829355	-57.73151600
0.12600000	115.21313478	-59.17002167
0.12800000	118.25500827	-60.61106412
0.13000000	121.31294723	-62.05407908
0.13200000	124.38599422	-63.49850828
0.13400000	127.47320127	-64.94379958
0.13600000	130.57363003	-66.38940701
0.13800000	133.68635182	-67.83479083
0.14000000	136.81044785	-69.27941765
0.14200000	139.94500922	-70.72276045
0.14400000	143.08913712	-72.16429866
0.14600000	146.24194287	-73.60351822
0.14800000	149.40254805	-75.03991165
0.15000000	152.57008459	-76.47297810
0.15200000	155.74369486	-77.90222340
0.15400000	158.92253175	-79.32716010
0.15600000	162.10575874	-80.74730755
0.15800000	165.29255003	-82.16219193
0.16000000	168.48209054	-83.57134628
0.16200000	171.67357606	-84.97431056
0.16400000	174.86621324	-86.37063169
0.16600000	178.05921971	-87.75986359
0.16800000	181.25182412	-89.14156717
0.17000000	184.44326618	-90.51531045
0.17200000	187.63279673	-91.88066850
0.17400000	190.81967780	-93.23722351
0.17600000	194.00318260	-94.58456482
0.17800000	197.18259563	-95.92228894
0.18000000	200.35721266	-97.24999956
0.18200000	203.52634082	-98.56730755
0.18400000	206.68929855	-99.87383103
0.18600000	209.84541572	-101.16919535
0.18800000	212.99403357	-102.45303309
0.19000000	216.13450478	-103.72498409
0.19200000	219.26619347	-104.98469547
0.19400000	222.38847521	-106.23182161
0.19600000	225.50073705	-107.46602414
0.19800000	228.60237747	-108.68697202
0.20000000	231.69280647	-109.89434142
0.20200000	234.77144548	-111.08781584
0.20400000	237.83772743	-112.26708601
0.20600000	240.89109669	-113.43184994
0.20800000	243.93100910	-114.58181290
0.21000000	246.95693192	-115.71668739
0.21200000	249.96834385	-116.83619316
0.21400000	252.96473500	-117.94005717
0.21600000	255.94560686	-119.02801358
0.21800000	258.91047227	-120.09980377
0.22000000	261.85885542	-121.15517624
0.22200000	264.79029181	-122.19388669
0.22400000	267.70432819	-123.21569792
0.22600000	270.60052257	-124.22037985
0.22800000	273.47844416	-125.20770946
0.23000000	276.33767332	-126.17747080
0.23200000	279.17780154	-127.12945494
0.23400000	281.99843139	-128.06345996
0.23600000	284.79917645	-128.97929088
0.23800000	287.57966130	-129.87675967
0.24000000	290.33952142	-130.75568518
0.24200000	293.07840319	-131.61589315
0.24400000	295.79596379	-132.45721611
0.24600000	298.49187116	-133.27949342
0.24800000	301.16580395	-134.08257114
0.25000000	303.81745142	-134.86630208
0.25200000	306.44651343	-135.63054569
0.25400000	309.05270031	-136.37516805
