HBM_CATMAN_DATAFILE_40

01.11.2012
11:54
CHANNELS: 10
SEPARATOR: 9
MAXLINES: 2006               

MGCplus_1_CH 1 CH=4	MGCplus_1_CH 2 CH=5	MGCplus_1_CH 3 CH=6	MGCplus_1_CH 6 CH=9	MGCplus_1_CH 7-1 CH=10	MGCplus_1_CH 7-2 CH=11	MGCplus_1_CH 7-3 CH=12	MGCplus_1_CH 8-1 CH=14	MGCplus_1_CH 8-2 CH=15	MGCplus_1_CH 8-3 CH=16
m/s²	m/s²	m/s²	mm	m/s²	m/s²	m/s²	m/s²	m/s²	m/s²
01.11.2012-11:54	01.11.2012-11:54	01.11.2012-11:54	01.11.2012-11:54	01.11.2012-11:54	01.11.2012-11:54	01.11.2012-11:54	01.11.2012-11:54	01.11.2012-11:54	01.11.2012-11:54
									
T0 =12.11.01 11:54:05	T0 =12.11.01 11:54:05	T0 =12.11.01 11:54:05	T0 =12.11.01 11:54:05	T0 =12.11.01 11:54:05	T0 =12.11.01 11:54:05	T0 =12.11.01 11:54:05	T0 =12.11.01 11:54:05	T0 =12.11.01 11:54:05	T0 =12.11.01 11:54:05
dt =10 ms	dt =10 ms	dt =10 ms	dt =10 ms	dt =10 ms	dt =10 ms	dt =10 ms	dt =10 ms	dt =10 ms	dt =10 ms
CH 1	CH 2	CH 3	CH 6	CH 7 - 1	CH 7 - 2	CH 7 - 3	CH 8 - 1	CH 8 - 2	CH 8 - 3
Serien Nr. (Elektronik / AP) 893058046101 / 801040579081	Serien Nr. (Elektronik / AP) 893058047101 / 	Serien Nr. (Elektronik / AP) 893058044101 / 801062143027	Serien Nr. (Elektronik / AP) 026454055122 / 801040579084	Serien Nr. (Elektronik / AP) 109977073120 / 107579008	Serien Nr. (Elektronik / AP) 109977073120 / 107579008	Serien Nr. (Elektronik / AP) 109977073120 / 107579008	Serien Nr. (Elektronik / AP) 095924042112 / 107579006	Serien Nr. (Elektronik / AP) 095924042112 / 107579006	Serien Nr. (Elektronik / AP) 095924042112 / 107579006
ML55 4800 Hz TF Verstärker (DMS+Induktiv) ID=5003	ML55 4800 Hz TF Verstärker (DMS+Induktiv) ID=5003	ML55 4800 Hz TF Verstärker (DMS+Induktiv) ID=5003	ML55 4800 Hz TF Verstärker (DMS+Induktiv) ID=5003	ML801 Multikanaleinschub ID=5015	ML801 Multikanaleinschub ID=5015	ML801 Multikanaleinschub ID=5015	ML801 Multikanaleinschub ID=5015	ML801 Multikanaleinschub ID=5015	ML801 Multikanaleinschub ID=5015
AP 01 i ID=5530	Standard Anschlußplatte (AP 01/03/04/07/11/12/13) ID=5500	AP 01 i ID=5530	AP 01 i ID=5530	AP 418 ID=5527	AP 418 ID=5527	AP 418 ID=5527	AP 418 ID=5527	AP 418 ID=5527	AP 418 ID=5527
Induktive Halbbrücke ID=357	Induktive Halbbrücke ID=357	Induktive Halbbrücke ID=357	Induktive Halbbrücke ID=357	Deltatron (TM)  10 V ID=552	Deltatron (TM)  10 V ID=552	Deltatron (TM)  10 V ID=552	Deltatron (TM)  10 V ID=552	Deltatron (TM)  10 V ID=552	Deltatron (TM)  10 V ID=552
