"ADAMS/View model name: TP_6572N_vRoad_N45_nlParameter"
	"2016-04-"	"9 16:19:45"

" Result ID"	"Result Type"	"I Marker ID"	"J Marker ID"	"Result Title"
"DYSensor4_MR4_ver"	"  Variable"	"     (N/A)"	"     (N/A)"	"(No Comment)"

"TIME      "	"Q         "
0.000000e+000	7.771000e+000
2.505322e-004	7.770827e+000
5.021906e-004	7.770309e+000
7.630102e-004	7.769424e+000
1.000000e-003	7.768333e+000
1.234157e-003	7.767000e+000
2.000000e-003	7.761042e+000
3.000000e-003	7.750037e+000
3.849024e-003	7.738089e+000
4.000000e-003	7.735719e+000
4.110363e-003	7.733939e+000
4.372567e-003	7.729551e+000
5.000000e-003	7.718129e+000
6.000000e-003	7.697127e+000
7.000000e-003	7.672480e+000
8.000000e-003	7.643996e+000
9.000000e-003	7.611593e+000
1.000000e-002	7.575310e+000
1.100000e-002	7.535252e+000
1.200000e-002	7.491538e+000
1.300000e-002	7.444261e+000
1.400000e-002	7.393479e+000
1.500000e-002	7.339233e+000
1.600000e-002	7.281562e+000
1.700000e-002	7.220516e+000
1.800000e-002	7.156164e+000
1.900000e-002	7.088585e+000
2.000000e-002	7.017871e+000
2.100000e-002	6.944114e+000
2.200000e-002	6.867412e+000
2.300000e-002	6.787861e+000
2.400000e-002	6.705563e+000
2.500000e-002	6.620621e+000
2.600000e-002	6.533141e+000
2.700000e-002	6.443236e+000
2.800000e-002	6.351019e+000
2.900000e-002	6.256610e+000
3.000000e-002	6.160130e+000
3.100000e-002	6.061703e+000
3.200000e-002	5.961455e+000
3.300000e-002	5.859489e+000
3.400000e-002	5.756001e+000
3.500000e-002	5.651114e+000
3.600000e-002	5.545001e+000
3.700000e-002	5.437857e+000
3.800000e-002	5.329879e+000
3.900000e-002	5.221259e+000
4.000000e-002	5.112185e+000
4.100000e-002	5.002834e+000
4.200000e-002	4.893378e+000
4.300000e-002	4.783991e+000
4.400000e-002	4.674847e+000
4.500000e-002	4.566121e+000
4.600000e-002	4.457991e+000
4.700000e-002	4.350633e+000
4.800000e-002	4.244221e+000
4.900000e-002	4.138925e+000
5.000000e-002	4.034915e+000
5.100000e-002	3.932358e+000
5.200000e-002	3.831416e+000
5.300000e-002	3.732250e+000
5.400000e-002	3.635017e+000
5.500000e-002	3.539869e+000
5.600000e-002	3.446957e+000
5.700000e-002	3.356425e+000
5.800000e-002	3.268416e+000
5.900000e-002	3.183066e+000
